Date,XLE_return_21d_forward,XLF_return_21d_forward,XLV_return_21d_forward,XLI_return_21d_forward,XLB_return_21d_forward,XLRE_return_21d_forward,XLK_return_21d_forward,XLC_return_21d_forward,XLY_return_21d_forward,XLP_return_21d_forward,XLU_return_21d_forward
2010-01-04,-0.039186763297775595,-0.019938108483432908,0.0022119546581794497,-0.006020613091090287,-0.09038412490224312,-0.030587479801265725,-0.08097426290537392,-0.09041942725937106,-0.009713975932432218,-0.0030044545843310446,-0.04373579428432887
2010-01-05,-0.089206840122486,-0.08216153288772099,-0.013509089106677514,-0.039474116596555996,-0.1316492051709227,-0.07106393144614304,-0.10804075079975302,-0.12835793304330423,-0.04274765759570941,-0.023896227334514776,-0.0583273198596819
2010-01-06,-0.10092669439456009,-0.07262093374933712,-0.025301522962022868,-0.045984849371392335,-0.12995708479096102,-0.05209647937835743,-0.08677395986643521,-0.11357364110507602,-0.04685137137772153,-0.025837487627476046,-0.06589904310578971
2010-01-07,-0.10868633272890398,-0.11403452422789796,-0.03365166965190473,-0.06790189987077307,-0.13835507140046066,-0.08397302993320335,-0.08713109303006432,-0.11087445867838062,-0.06138584370645585,-0.026993249616222542,-0.072832514064258
2010-01-08,-0.0943655356084912,-0.09794206408829649,-0.027434099009454378,-0.06460673544397912,-0.12814543266559245,-0.08031433698668719,-0.08511920447482685,-0.0940239440491468,-0.04578407471696646,-0.011735794582957286,-0.06176467936055123
2010-01-11,-0.09723854154038873,-0.0906589543140816,-0.039245493988896915,-0.07694734023958466,-0.1295490680399121,-0.08437879102918401,-0.0840450069839203,-0.09936995156467911,-0.04794986403631679,-0.015510554644110984,-0.07663872595374155
2010-01-12,-0.06580882156800974,-0.07395395146761029,-0.025212612733821735,-0.05393421374935694,-0.0934629800714466,-0.05868704462474237,-0.06271901218044167,-0.07575576944218036,-0.023316011788235003,-0.013151004788445053,-0.06654617852377902
2010-01-13,-0.06914892421604717,-0.08449913649564718,-0.04062748060408512,-0.06596600504207836,-0.10707047121216601,-0.06816039142017831,-0.0704893757825244,-0.07865314783597664,-0.03460804571377297,-0.020217974551714483,-0.08129668953474387
2010-01-14,-0.048706490732274045,-0.06852473708010175,-0.040899042993177356,-0.042663114259432304,-0.06993738763886143,-0.038224233074817066,-0.05823384003668002,-0.05748513132414958,-0.018666999779648044,-0.007088494838495875,-0.05960068039563289
2010-01-15,-0.04204600355110303,-0.04448203454279063,-0.02641669523786841,-0.021207366477324605,-0.061938523568838014,-0.019662639850648145,-0.0414472359413974,-0.03769158515019349,-0.0006673374218093868,0.0048441807700438586,-0.05725350793562808
2010-01-19,-0.04550151438841585,-0.050840679561736754,-0.045568150727872854,-0.023061212351868726,-0.0671435247800611,-0.026077775555524083,-0.05209234428247122,-0.04254366939696731,-0.007599844575368902,0.004815789938718371,-0.06336635486492127
2010-01-20,-0.025984324306310886,-0.04264591514594397,-0.03704690528405595,-0.002768096577123161,-0.043630256819995834,-0.015948072654359182,-0.03865624987408596,-0.0247292185763721,0.008306812356419939,0.014484621697190957,-0.038884580275633726
2010-01-21,-0.01925813169383564,-0.0006823049876320252,-0.01796717619502309,0.021348208165575974,-0.0037254479152372994,0.017029936631401628,-0.02985327820929438,-0.013004106605433422,0.020736408483187335,0.02880302301197172,-0.029623922196216672
2010-01-22,-0.011971232313518727,0.014006308734274919,-0.016560864236407336,0.023781106410259507,0.0003159211983357815,0.03234758152369245,-0.006949539417274408,-0.008860607355834618,0.03421173703643406,0.025536572976735457,-0.014184785186735068
2010-01-25,-0.012250362430997305,0.025616272214568057,-0.009201932359320788,0.027456975987118014,-0.011028886064013447,0.03474692743853161,-0.005509674888103345,-0.019151710258708262,0.04195956913115994,0.029919920909934197,-0.019849670240022106
2010-01-26,-0.0053420307095718945,0.04056503649445168,-0.002863302334612126,0.02931507106628291,0.0009532579236989116,0.04841936745461019,-0.005524460507126721,-0.007001597227747475,0.04223146171923494,0.03179646494200149,-0.025879007265978075
2010-01-27,0.0008908808442269027,0.022736239128605448,-0.009508858271263498,0.03027367077586707,0.009889765657803733,0.03691784021552169,-0.012371331878825649,-0.007177727962283154,0.04216025249919161,0.024720384607848405,-0.02708378822033262
2010-01-28,0.020685713797355603,0.030347233867375954,0.006328787887042238,0.054866345262887146,0.043130464336047905,0.056688366790658126,0.029563096131559257,0.01155617615469459,0.06359306483085815,0.034382575930824805,-0.005061750208892269
2010-01-29,0.047128939061405854,0.04076587265824861,0.016801618030035857,0.0667502608849987,0.06766507668350004,0.06377533300611431,0.045695687843421665,0.023133148107217297,0.06462510303879539,0.04185946845686363,0.0040554883597630756
2010-02-01,0.01900167694347691,0.024658244404331633,0.006968656717690451,0.053251863160269204,0.0372674395435132,0.04358540786786507,0.03476596695904847,0.014722818030059212,0.054821797696819,0.03462124698175252,-0.004045587518036697
2010-02-02,0.0007016571850893986,0.025095132101477152,-0.016643564759033353,0.039126085738177226,0.04082223494128813,0.03131716958935393,0.029000220251077187,0.0073129550686070535,0.04992814746666847,0.023617515644573175,-0.010063804151453743
2010-02-03,0.027900399808519084,0.05538198692212612,0.010675480799007373,0.06031078338299887,0.06508165291190299,0.06555073983969331,0.03884415168005954,0.01953112702405514,0.0676682236265594,0.03691845675709974,0.007033937401300337
2010-02-04,0.0682426321700012,0.10136133014247378,0.03030053757139703,0.08554688374127044,0.10311856541309244,0.11598881848083,0.07256555474776244,0.058332035593113125,0.09955536918503953,0.0538044540957455,0.03360202749025803
2010-02-05,0.06805860723053442,0.09309020095694182,0.0312923536938307,0.09798012654658098,0.07822392589922332,0.10078277939984645,0.06699768400020384,0.07088454918047266,0.10076169215952656,0.055038904038956095,0.03399355140288614
2010-02-08,0.0860652984456379,0.12443063029962419,0.03679817171550349,0.11106908172812245,0.09473423086380556,0.12914735715064052,0.07791399178563281,0.07241183691459852,0.10923544700753503,0.05473683150075684,0.04580396097492836
2010-02-09,0.06354668338398081,0.12260241270022672,0.03682955397549164,0.09557506730066362,0.07643045856638864,0.13714661796208796,0.07333069484764149,0.0661350812870152,0.10114949558476058,0.044683265750339554,0.03904729613031162
2010-02-10,0.06826079095145211,0.11080919154311496,0.035483847019954814,0.10364219862565416,0.08720260851732199,0.14380674442342306,0.07529235873211158,0.06696729507822469,0.10808945380001818,0.04655482113821926,0.037211762253238086
2010-02-11,0.04107381939281163,0.10865474679815894,0.03524743166216097,0.08877866156515499,0.07000205762096635,0.13227601467666933,0.06404014516460116,0.05775692354782104,0.09515513308354695,0.046193351125234094,0.034996037519105044
2010-02-12,0.04965478357960573,0.12009026559544271,0.04031607152722851,0.11013692451193367,0.08655395683984993,0.14885048999435033,0.06961676860120541,0.061279720251256664,0.10258770520533758,0.050877584636412024,0.05042530472158811
2010-02-16,0.03725866485722512,0.11152125585800368,0.03191951630099123,0.088457261112458,0.06729061643085582,0.13446050045233732,0.057798822146748426,0.055513639236936474,0.09157135863569839,0.04502162348727013,0.03651437708264503
2010-02-17,0.023653157756940785,0.10234701026901755,0.03106115023802077,0.08677710114928211,0.05956889652814766,0.12109935220101604,0.05634052228889357,0.05245058684114911,0.08322136315321026,0.03900630658180457,0.03600083588021028
2010-02-18,0.005942157567056366,0.089461692849297,0.025920324994039304,0.07366664660824147,0.03795620262698718,0.09926553784256842,0.04392790815766328,0.04362047238122455,0.07387999706545667,0.030127135641588063,0.029433525111051045
2010-02-19,-0.000522576320840648,0.08899999913780146,0.03241095157053416,0.07172034210623268,0.04698263414179606,0.10979872346432547,0.05410533456791534,0.0517043575632907,0.08199981115398529,0.03294153583685495,0.008862654659247663
2010-02-22,0.01718956974947332,0.08415546096319557,0.04018636618158913,0.08229058716039804,0.06427262966924614,0.10285745467320817,0.06547692507870316,0.06268997585707929,0.0862932377291406,0.04079319232291015,0.018277523254584316
2010-02-23,0.028174260622660947,0.10338639885843712,0.0389868520245341,0.08812045582900532,0.07733583225335885,0.11394411764954857,0.07319396888826611,0.06541383910547519,0.08830668948000384,0.03920359793854592,0.014628230772718067
2010-02-24,0.004923266099890014,0.09054020092906044,0.02759125140555618,0.07735532640284347,0.05973056587064538,0.10583730862527065,0.06521111761112906,0.05423680320430716,0.08118985885558434,0.031487010008836996,0.0071624844879009785
2010-02-25,0.004744316915973304,0.09452938124582458,0.019459055685084933,0.08236498208212462,0.06940119293489162,0.09722961886390839,0.06320596179798003,0.057379901672462326,0.08348746257000236,0.031467272133361764,0.011582451509719057
2010-02-26,0.02167623528036689,0.08962864590840489,0.029742408916834676,0.08750935473394002,0.07971596127864052,0.1040089553567944,0.06486045049218642,0.06228482420187613,0.08335917634585763,0.040912415912863966,0.03159488422350013
2010-03-01,0.014028867581510443,0.08064627333582618,0.020233550645571287,0.0760119542535282,0.06606094122069339,0.09181082086126509,0.05635965024035138,0.06012594866574649,0.06684750822631857,0.03568968886389017,0.014597209463838108
2010-03-02,0.010298267444788341,0.07913752904707455,0.013351513609650761,0.06855669963456938,0.05265399877898372,0.08237905918528338,0.05470034052809476,0.05222069907265346,0.06474093578454815,0.026310008701519356,0.009199923038475466
2010-03-03,0.02350956975395072,0.08657809252835873,0.02303350266389841,0.07357338799781632,0.06125379744213509,0.08915205089469633,0.052511099525857835,0.05981974359995426,0.06880602973167212,0.03236822021140512,0.02461609107103176
2010-03-04,0.04636104107699807,0.08638131039845909,0.023405548143487147,0.07609676015352944,0.06661008639356673,0.10562892415378312,0.06006039715711045,0.06648616930539349,0.07181677821800195,0.029080365704337606,0.028559613524235587
2010-03-05,0.027789547178580058,0.07755717620712632,0.008947539942410076,0.061247888685366646,0.05558328801713003,0.1030071625670783,0.04874094858851767,0.057106905101301356,0.05489615214250472,0.019692972940983,0.026726155891797068
2010-03-08,0.01938673600638874,0.0719249165912363,0.01054174243188421,0.06024295936198105,0.049276121089867314,0.06890728333811676,0.03951459808302679,0.038737840536367786,0.04879646267491677,0.01687883591107332,0.016841494355601536
2010-03-09,0.022940218194644608,0.07657174797491151,0.007420473315570668,0.05538031765321282,0.057925866592563255,0.06597385287717963,0.03678449051402734,0.03443668528187708,0.05990233468043986,0.02012969447368487,0.012199533282345286
2010-03-10,0.024780068770309666,0.06915622763264984,0.011165862313387226,0.05906258612112392,0.05934210044484818,0.0763571090584782,0.037844800682083804,0.03846262176378217,0.06509152603286995,0.02695161904678347,0.019167036307981805
2010-03-11,0.02882605176556147,0.06501111970783913,0.0005325849585151405,0.05761014470800933,0.05044046818662024,0.06482912927584135,0.036011574002165696,0.03246228413653492,0.05790486372057291,0.028334214320470674,0.018473271444603555
2010-03-12,0.02480554798863726,0.0694666001661563,0.00897951549492996,0.052571529910054,0.0427848737481471,0.07994774465049333,0.03986046024179,0.035743701585002736,0.06039164626187312,0.024401565093240526,0.019529470139786297
2010-03-15,0.044607827275430216,0.09500965248526978,-0.0010361721496351833,0.065342648453602,0.05055676675558542,0.08375628592671738,0.05504377516328081,0.036730511631864915,0.07703501463378823,0.01821417276452605,0.016843851958894315
2010-03-16,0.03550110770370496,0.07874304622355395,-0.006664217086206168,0.06148126128186256,0.03594033941029544,0.03293528237943343,0.05217673365321659,0.03130286805312462,0.07391807701401734,0.011747786241033068,0.004894245570442874
2010-03-17,0.00755064749468523,0.02953971326882339,-0.01296485628101834,0.043477067509812777,0.0130038424172667,-0.00020190223020984547,0.035729875751024424,0.016723483198089212,0.055698496297038234,0.003153414707435086,-0.010065744770902685
2010-03-18,0.023911477754924818,0.044941376150411744,-0.011597274679097255,0.03481729252501002,0.020386931689908436,0.0075152020569854905,0.03652977116616725,0.01454433794273106,0.057749527146040036,0.006014027747370898,-0.004444699337967658
